Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,8145,861,297000.0,281846.69948472513,3290.337207959965,305993.5860839905,2.5370165745856355,4.524546625247602,0.47828540753077786,297000,300000,300000,300000,301000,302000,304000,304000,305000,306000,306000
,Aggregated,8145,861,297000.0,281846.69948472513,3290.337207959965,305993.5860839905,2.5370165745856355,4.524546625247602,0.47828540753077786,297000,300000,300000,300000,301000,302000,304000,304000,305000,306000,306000
