Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,5169,184,299000.0,291432.94191824476,456.4067090395838,304496.3716660859,0.8543238537434706,2.8716050121935135,0.10222002751859285,299000,300000,300000,300000,300000,300000,300000,300000,301000,304000,304000
,Aggregated,5169,184,299000.0,291432.94191824476,456.4067090395838,304496.3716660859,0.8543238537434706,2.8716050121935135,0.10222002751859285,299000,300000,300000,300000,300000,300000,300000,300000,301000,304000,304000
