Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,7895,236,299000.0,288082.1502994606,2375.488999998197,303340.36725002807,0.5076630778974034,4.387714845527989,0.13115905048063398,299000,299000,299000,300000,300000,300000,300000,300000,303000,303000,303000
,Aggregated,7895,236,299000.0,288082.1502994606,2375.488999998197,303340.36725002807,0.5076630778974034,4.387714845527989,0.13115905048063398,299000,299000,299000,300000,300000,300000,300000,300000,303000,303000,303000
