Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,190,10,66000.0,55500.262637728374,240.12245901394635,154519.23004194396,8.31578947368421,0.6374236532415818,0.033548613328504305,66000,74000,76000,77000,86000,95000,99000,110000,155000,155000,155000
,Aggregated,190,10,66000.0,55500.262637728374,240.12245901394635,154519.23004194396,8.31578947368421,0.6374236532415818,0.033548613328504305,66000,74000,76000,77000,86000,95000,99000,110000,155000,155000,155000
