Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,5286,894,300000.0,285548.7262951953,21.933167008683085,307008.8983330643,6.580211880438895,2.9380406591739567,0.49689904451409717,300000,300000,300000,300000,300000,300000,302000,303000,307000,307000,307000
,Aggregated,5286,894,300000.0,285548.7262951953,21.933167008683085,307008.8983330643,6.580211880438895,2.9380406591739567,0.49689904451409717,300000,300000,300000,300000,300000,300000,302000,303000,307000,307000,307000
