Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,10131,6625,300000.0,297427.7531943747,3509.916792041622,319685.02341699786,15.578323956174119,5.635469575572955,3.6852221832169407,300000,300000,300000,300000,301000,303000,304000,304000,304000,317000,320000
,Aggregated,10131,6625,300000.0,297427.7531943747,3509.916792041622,319685.02341699786,15.578323956174119,5.635469575572955,3.6852221832169407,300000,300000,300000,300000,301000,303000,304000,304000,304000,317000,320000
