Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,121,0,13000.0,12591.124700428052,4733.226374955848,18589.36674997676,0.0,0.40609744395977354,0.0,13000,14000,14000,15000,16000,17000,18000,18000,19000,19000,19000
,Aggregated,121,0,13000.0,12591.124700428052,4733.226374955848,18589.36674997676,0.0,0.40609744395977354,0.0,13000,14000,14000,15000,16000,17000,18000,18000,19000,19000,19000
