TimeSeries ID,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization2.response_code_class:2xx,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization2.response_code_class:5xx
response_code_class,2xx,5xx
project_id,llm-workload-characterization2,llm-workload-characterization2
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),0.5,undefined
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),0.5333333333333333,undefined
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),0.55,undefined
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),0.5,undefined
Sun May 25 2025 19:32:00 GMT+0300 (GMT+03:00),0.4666666666666667,undefined
Sun May 25 2025 19:33:00 GMT+0300 (GMT+03:00),0.38333333333333336,undefined
Sun May 25 2025 19:34:00 GMT+0300 (GMT+03:00),0.4,undefined
Sun May 25 2025 19:35:00 GMT+0300 (GMT+03:00),0.23333333333333334,undefined
Sun May 25 2025 19:36:00 GMT+0300 (GMT+03:00),0.21666666666666667,undefined
Sun May 25 2025 19:37:00 GMT+0300 (GMT+03:00),0.016666666666666666,undefined
Sun May 25 2025 19:38:00 GMT+0300 (GMT+03:00),0,undefined
Sun May 25 2025 19:39:00 GMT+0300 (GMT+03:00),0,undefined
Sun May 25 2025 19:40:00 GMT+0300 (GMT+03:00),0,undefined
Sun May 25 2025 19:41:00 GMT+0300 (GMT+03:00),0,undefined
Sun May 25 2025 19:42:00 GMT+0300 (GMT+03:00),0.26666666666666666,undefined
Sun May 25 2025 19:43:00 GMT+0300 (GMT+03:00),0.5666666666666667,undefined
