TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 19:45:00 GMT+0300 (GMT+03:00),214119.8644149641
Sun May 25 2025 19:46:00 GMT+0300 (GMT+03:00),281972.4066083705
Sun May 25 2025 19:47:00 GMT+0300 (GMT+03:00),323367.54642339697
Sun May 25 2025 19:48:00 GMT+0300 (GMT+03:00),323384.3805855336
Sun May 25 2025 19:49:00 GMT+0300 (GMT+03:00),322149.7447563251
Sun May 25 2025 19:50:00 GMT+0300 (GMT+03:00),320849.48127774434
Sun May 25 2025 19:51:00 GMT+0300 (GMT+03:00),320180.4136625523
Sun May 25 2025 19:52:00 GMT+0300 (GMT+03:00),323308.7781604726
Sun May 25 2025 19:53:00 GMT+0300 (GMT+03:00),323437.16666389204
Sun May 25 2025 19:54:00 GMT+0300 (GMT+03:00),322340.1134287231
Sun May 25 2025 19:55:00 GMT+0300 (GMT+03:00),321591.76761308947
Sun May 25 2025 19:56:00 GMT+0300 (GMT+03:00),321076.7117885643
Sun May 25 2025 19:57:00 GMT+0300 (GMT+03:00),323019.53265607473
Sun May 25 2025 19:58:00 GMT+0300 (GMT+03:00),323438.1785375986
Sun May 25 2025 19:59:00 GMT+0300 (GMT+03:00),323167.23248810763
Sun May 25 2025 20:00:00 GMT+0300 (GMT+03:00),321830.1603244409
Sun May 25 2025 20:01:00 GMT+0300 (GMT+03:00),321394.8345037122
Sun May 25 2025 20:02:00 GMT+0300 (GMT+03:00),321493.30105840083
Sun May 25 2025 20:03:00 GMT+0300 (GMT+03:00),323439.6259478071
Sun May 25 2025 20:04:00 GMT+0300 (GMT+03:00),323161.2039235349
Sun May 25 2025 20:05:00 GMT+0300 (GMT+03:00),322724.1329920088
