TimeSeries ID,container/billable_instance_time.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/container/billable_instance_time" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".+60s.project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 19:23:00 GMT+0300 (GMT+03:00),5.0401757652943315
Sun May 25 2025 19:24:00 GMT+0300 (GMT+03:00),5.0514564183048
Sun May 25 2025 19:25:00 GMT+0300 (GMT+03:00),5.039005460960637
Sun May 25 2025 19:26:00 GMT+0300 (GMT+03:00),5.034823852757063
Sun May 25 2025 19:27:00 GMT+0300 (GMT+03:00),5.055536941046436
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),5.055345117723346
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),5.0345680998025575
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),5.037085296879468
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),5.066872301382636
Sun May 25 2025 19:32:00 GMT+0300 (GMT+03:00),4.30445330482747
Sun May 25 2025 19:33:00 GMT+0300 (GMT+03:00),4.257244684725977
Sun May 25 2025 19:34:00 GMT+0300 (GMT+03:00),5.037697998754053
Sun May 25 2025 19:35:00 GMT+0300 (GMT+03:00),5.042006491678739
Sun May 25 2025 19:36:00 GMT+0300 (GMT+03:00),5.05258510676058
Sun May 25 2025 19:37:00 GMT+0300 (GMT+03:00),5.043061728293545
Sun May 25 2025 19:38:00 GMT+0300 (GMT+03:00),5.040621797408903
Sun May 25 2025 19:39:00 GMT+0300 (GMT+03:00),5.049312702444362
Sun May 25 2025 19:40:00 GMT+0300 (GMT+03:00),5.0607973623444495
Sun May 25 2025 19:41:00 GMT+0300 (GMT+03:00),5.029818651982214
Sun May 25 2025 19:42:00 GMT+0300 (GMT+03:00),5.031173677463479
Sun May 25 2025 19:43:00 GMT+0300 (GMT+03:00),5.062503247712099
Sun May 25 2025 19:44:00 GMT+0300 (GMT+03:00),5.034016395810295
Sun May 25 2025 19:45:00 GMT+0300 (GMT+03:00),5.0509441894641744
Sun May 25 2025 19:46:00 GMT+0300 (GMT+03:00),5.036090844396191
Sun May 25 2025 19:47:00 GMT+0300 (GMT+03:00),5.078611170508399
Sun May 25 2025 19:48:00 GMT+0300 (GMT+03:00),5.036736389822788
Sun May 25 2025 19:49:00 GMT+0300 (GMT+03:00),5.0379907169300315
Sun May 25 2025 19:50:00 GMT+0300 (GMT+03:00),5.038383807243523
Sun May 25 2025 19:51:00 GMT+0300 (GMT+03:00),5.043693225442879
Sun May 25 2025 19:52:00 GMT+0300 (GMT+03:00),5.0610170128501215
Sun May 25 2025 19:53:00 GMT+0300 (GMT+03:00),5.025674923123431
Sun May 25 2025 19:54:00 GMT+0300 (GMT+03:00),4.3163296887271825
Sun May 25 2025 19:55:00 GMT+0300 (GMT+03:00),5.049277936398524
Sun May 25 2025 19:56:00 GMT+0300 (GMT+03:00),4.613421137597182
Sun May 25 2025 19:57:00 GMT+0300 (GMT+03:00),5.039020836362306
Sun May 25 2025 19:58:00 GMT+0300 (GMT+03:00),5.038131976142207
Sun May 25 2025 19:59:00 GMT+0300 (GMT+03:00),4.78818293994021
Sun May 25 2025 20:00:00 GMT+0300 (GMT+03:00),5.0478136998449825
Sun May 25 2025 20:01:00 GMT+0300 (GMT+03:00),5.024543755143653
Sun May 25 2025 20:02:00 GMT+0300 (GMT+03:00),5.041121142075659
Sun May 25 2025 20:03:00 GMT+0300 (GMT+03:00),5.058474057451243
Sun May 25 2025 20:04:00 GMT+0300 (GMT+03:00),5.044380226625541
Sun May 25 2025 20:05:00 GMT+0300 (GMT+03:00),5.033470844796648
Sun May 25 2025 20:06:00 GMT+0300 (GMT+03:00),5.046763674512127
Sun May 25 2025 20:07:00 GMT+0300 (GMT+03:00),5.051105538463919
Sun May 25 2025 20:08:00 GMT+0300 (GMT+03:00),5.048632603878484
Sun May 25 2025 20:09:00 GMT+0300 (GMT+03:00),5.049246522996464
Sun May 25 2025 20:10:00 GMT+0300 (GMT+03:00),5.0396245358409795
Sun May 25 2025 20:11:00 GMT+0300 (GMT+03:00),5.05305989781009
Sun May 25 2025 20:12:00 GMT+0300 (GMT+03:00),5.0349718353427
Sun May 25 2025 20:13:00 GMT+0300 (GMT+03:00),5.046469650939449
Sun May 25 2025 20:14:00 GMT+0300 (GMT+03:00),5.048598599592742
Sun May 25 2025 20:15:00 GMT+0300 (GMT+03:00),5.04270471524707
Sun May 25 2025 20:16:00 GMT+0300 (GMT+03:00),5.046199617699555
Sun May 25 2025 20:17:00 GMT+0300 (GMT+03:00),5.03700631299436
Sun May 25 2025 20:18:00 GMT+0300 (GMT+03:00),5.046103403393682
Sun May 25 2025 20:19:00 GMT+0300 (GMT+03:00),5.051488427959642
Sun May 25 2025 20:20:00 GMT+0300 (GMT+03:00),5.042751005689752
Sun May 25 2025 20:21:00 GMT+0300 (GMT+03:00),5.0375737100270275
Sun May 25 2025 20:22:00 GMT+0300 (GMT+03:00),5.04780108966764
Sun May 25 2025 20:23:00 GMT+0300 (GMT+03:00),5.052229061213741
Sun May 25 2025 20:24:00 GMT+0300 (GMT+03:00),5.0523660396836325
Sun May 25 2025 20:25:00 GMT+0300 (GMT+03:00),5.032759696072207
Sun May 25 2025 20:26:00 GMT+0300 (GMT+03:00),5.035341373241985
Sun May 25 2025 20:27:00 GMT+0300 (GMT+03:00),4.2925437655029475
Sun May 25 2025 20:28:00 GMT+0300 (GMT+03:00),5.063432384481045
Sun May 25 2025 20:29:00 GMT+0300 (GMT+03:00),5.034287787490545
Sun May 25 2025 20:30:00 GMT+0300 (GMT+03:00),4.449635580019791
Sun May 25 2025 20:31:00 GMT+0300 (GMT+03:00),5.046432733616227
Sun May 25 2025 20:32:00 GMT+0300 (GMT+03:00),5.059286569626723
Sun May 25 2025 20:33:00 GMT+0300 (GMT+03:00),5.054909941706106
Sun May 25 2025 20:34:00 GMT+0300 (GMT+03:00),5.020361107020593
Sun May 25 2025 20:35:00 GMT+0300 (GMT+03:00),5.051179052747132
Sun May 25 2025 20:36:00 GMT+0300 (GMT+03:00),5.04290139613701
Sun May 25 2025 20:37:00 GMT+0300 (GMT+03:00),5.0425914376533
Sun May 25 2025 20:38:00 GMT+0300 (GMT+03:00),4.809687810995304
Sun May 25 2025 20:39:00 GMT+0300 (GMT+03:00),5.039750875828728
Sun May 25 2025 20:40:00 GMT+0300 (GMT+03:00),5.044691448760871
Sun May 25 2025 20:41:00 GMT+0300 (GMT+03:00),5.056905398210104
Sun May 25 2025 20:42:00 GMT+0300 (GMT+03:00),5.047341341806956
Sun May 25 2025 20:43:00 GMT+0300 (GMT+03:00),5.03155837128179
Sun May 25 2025 20:44:00 GMT+0300 (GMT+03:00),5.034902463658879
Sun May 25 2025 20:45:00 GMT+0300 (GMT+03:00),5.069010399932722
Sun May 25 2025 20:46:00 GMT+0300 (GMT+03:00),5.057957397687582
Sun May 25 2025 20:47:00 GMT+0300 (GMT+03:00),5.018822846979159
Sun May 25 2025 20:48:00 GMT+0300 (GMT+03:00),5.038050272114955
Sun May 25 2025 20:49:00 GMT+0300 (GMT+03:00),5.06865175483872
Sun May 25 2025 20:50:00 GMT+0300 (GMT+03:00),5.062468548852576
Sun May 25 2025 20:51:00 GMT+0300 (GMT+03:00),5.03115606673676
Sun May 25 2025 20:52:00 GMT+0300 (GMT+03:00),5.025943280380579
Sun May 25 2025 20:53:00 GMT+0300 (GMT+03:00),5.06900393162526
Sun May 25 2025 20:54:00 GMT+0300 (GMT+03:00),4.767627674755841
Sun May 25 2025 20:55:00 GMT+0300 (GMT+03:00),5.035647030606015
Sun May 25 2025 20:56:00 GMT+0300 (GMT+03:00),5.049670183029957
Sun May 25 2025 20:57:00 GMT+0300 (GMT+03:00),5.044990748005057
Sun May 25 2025 20:58:00 GMT+0300 (GMT+03:00),5.066074353612506
Sun May 25 2025 20:59:00 GMT+0300 (GMT+03:00),5.026382015808637
Sun May 25 2025 21:00:00 GMT+0300 (GMT+03:00),5.0271489177551
Sun May 25 2025 21:01:00 GMT+0300 (GMT+03:00),5.066946074740554
Sun May 25 2025 21:02:00 GMT+0300 (GMT+03:00),5.05352998213369
Sun May 25 2025 21:03:00 GMT+0300 (GMT+03:00),4.606328550990019
Sun May 25 2025 21:04:00 GMT+0300 (GMT+03:00),5.03813531494155
Sun May 25 2025 21:05:00 GMT+0300 (GMT+03:00),5.052707993584288
Sun May 25 2025 21:06:00 GMT+0300 (GMT+03:00),5.045759511683021
Sun May 25 2025 21:07:00 GMT+0300 (GMT+03:00),5.037510845702915
Sun May 25 2025 21:08:00 GMT+0300 (GMT+03:00),5.042883548670216
Sun May 25 2025 21:09:00 GMT+0300 (GMT+03:00),5.057487579872698
Sun May 25 2025 21:10:00 GMT+0300 (GMT+03:00),5.050039377921409
Sun May 25 2025 21:11:00 GMT+0300 (GMT+03:00),5.029030968735727
Sun May 25 2025 21:12:00 GMT+0300 (GMT+03:00),5.039993388117
Sun May 25 2025 21:13:00 GMT+0300 (GMT+03:00),5.0576339491471725
Sun May 25 2025 21:14:00 GMT+0300 (GMT+03:00),5.050965424056297
Sun May 25 2025 21:15:00 GMT+0300 (GMT+03:00),5.028724898046463
Sun May 25 2025 21:16:00 GMT+0300 (GMT+03:00),5.039666709059747
Sun May 25 2025 21:17:00 GMT+0300 (GMT+03:00),5.063181618332389
Sun May 25 2025 21:18:00 GMT+0300 (GMT+03:00),5.053475748562505
Sun May 25 2025 21:19:00 GMT+0300 (GMT+03:00),5.036854132638534
Sun May 25 2025 21:20:00 GMT+0300 (GMT+03:00),5.037615057638899
Sun May 25 2025 21:21:00 GMT+0300 (GMT+03:00),4.2991783110628
Sun May 25 2025 21:22:00 GMT+0300 (GMT+03:00),5.05898897752586
Sun May 25 2025 21:23:00 GMT+0300 (GMT+03:00),5.032612228397526
Sun May 25 2025 21:24:00 GMT+0300 (GMT+03:00),5.037474284318341
Sun May 25 2025 21:25:00 GMT+0300 (GMT+03:00),5.039408276061659
Sun May 25 2025 21:26:00 GMT+0300 (GMT+03:00),5.05966619306649
Sun May 25 2025 21:27:00 GMT+0300 (GMT+03:00),5.055786864224926
Sun May 25 2025 21:28:00 GMT+0300 (GMT+03:00),5.036099487505423
Sun May 25 2025 21:29:00 GMT+0300 (GMT+03:00),5.029950290648685
Sun May 25 2025 21:30:00 GMT+0300 (GMT+03:00),5.065978097408697
Sun May 25 2025 21:31:00 GMT+0300 (GMT+03:00),5.03817391538214
Sun May 25 2025 21:32:00 GMT+0300 (GMT+03:00),5.0334703336620805
Sun May 25 2025 21:33:00 GMT+0300 (GMT+03:00),5.040154339794632
Sun May 25 2025 21:34:00 GMT+0300 (GMT+03:00),5.066057642321994
Sun May 25 2025 21:35:00 GMT+0300 (GMT+03:00),5.040461397247509
Sun May 25 2025 21:36:00 GMT+0300 (GMT+03:00),4.441144567502639
Sun May 25 2025 21:37:00 GMT+0300 (GMT+03:00),5.072223579635738
Sun May 25 2025 21:38:00 GMT+0300 (GMT+03:00),5.039594638899326
Sun May 25 2025 21:39:00 GMT+0300 (GMT+03:00),5.046837999124364
Sun May 25 2025 21:40:00 GMT+0300 (GMT+03:00),5.051821191552123
Sun May 25 2025 21:41:00 GMT+0300 (GMT+03:00),5.0360320455745144
Sun May 25 2025 21:42:00 GMT+0300 (GMT+03:00),5.054184612345398
Sun May 25 2025 21:43:00 GMT+0300 (GMT+03:00),4.251463262536587
Sun May 25 2025 21:44:00 GMT+0300 (GMT+03:00),5.062373403879701
Sun May 25 2025 21:45:00 GMT+0300 (GMT+03:00),5.050794368702949
Sun May 25 2025 21:46:00 GMT+0300 (GMT+03:00),5.055483136651826
Sun May 25 2025 21:47:00 GMT+0300 (GMT+03:00),5.021732798681933
Sun May 25 2025 21:48:00 GMT+0300 (GMT+03:00),4.77711049634166
Sun May 25 2025 21:49:00 GMT+0300 (GMT+03:00),5.042116804389389
Sun May 25 2025 21:50:00 GMT+0300 (GMT+03:00),5.063974761625195
Sun May 25 2025 21:51:00 GMT+0300 (GMT+03:00),5.025477995037121
Sun May 25 2025 21:52:00 GMT+0300 (GMT+03:00),5.068241675661981
Sun May 25 2025 21:53:00 GMT+0300 (GMT+03:00),5.030609410463815
Sun May 25 2025 21:54:00 GMT+0300 (GMT+03:00),5.052682586146481
Sun May 25 2025 21:55:00 GMT+0300 (GMT+03:00),5.062226359634739
Sun May 25 2025 21:56:00 GMT+0300 (GMT+03:00),5.022003904983316
Sun May 25 2025 21:57:00 GMT+0300 (GMT+03:00),5.050584577292769
Sun May 25 2025 21:58:00 GMT+0300 (GMT+03:00),5.061600717611539
Sun May 25 2025 21:59:00 GMT+0300 (GMT+03:00),5.046928607231014
Sun May 25 2025 22:00:00 GMT+0300 (GMT+03:00),5.029651958943244
Sun May 25 2025 22:01:00 GMT+0300 (GMT+03:00),5.061013303522365
Sun May 25 2025 22:02:00 GMT+0300 (GMT+03:00),5.043153213474974
Sun May 25 2025 22:03:00 GMT+0300 (GMT+03:00),5.04320283366654
Sun May 25 2025 22:04:00 GMT+0300 (GMT+03:00),5.045424663762697
Sun May 25 2025 22:05:00 GMT+0300 (GMT+03:00),5.044257393269466
Sun May 25 2025 22:06:00 GMT+0300 (GMT+03:00),5.054787259098521
Sun May 25 2025 22:07:00 GMT+0300 (GMT+03:00),5.039707394106699
Sun May 25 2025 22:08:00 GMT+0300 (GMT+03:00),5.0504819436146136
Sun May 25 2025 22:09:00 GMT+0300 (GMT+03:00),5.031017329809766
Sun May 25 2025 22:10:00 GMT+0300 (GMT+03:00),4.625743802821186
Sun May 25 2025 22:11:00 GMT+0300 (GMT+03:00),5.039307800475156
Sun May 25 2025 22:12:00 GMT+0300 (GMT+03:00),5.039490216569235
Sun May 25 2025 22:13:00 GMT+0300 (GMT+03:00),5.043086593881101
Sun May 25 2025 22:14:00 GMT+0300 (GMT+03:00),4.299141349657263
Sun May 25 2025 22:15:00 GMT+0300 (GMT+03:00),5.056789168761922
Sun May 25 2025 22:16:00 GMT+0300 (GMT+03:00),5.027164417174512
Sun May 25 2025 22:17:00 GMT+0300 (GMT+03:00),5.0450846129808875
Sun May 25 2025 22:18:00 GMT+0300 (GMT+03:00),5.050990066683547
Sun May 25 2025 22:19:00 GMT+0300 (GMT+03:00),5.068619546981032
Sun May 25 2025 22:20:00 GMT+0300 (GMT+03:00),5.020204037489293
Sun May 25 2025 22:21:00 GMT+0300 (GMT+03:00),5.052949433739893
Sun May 25 2025 22:22:00 GMT+0300 (GMT+03:00),5.055868315170179
Sun May 25 2025 22:23:00 GMT+0300 (GMT+03:00),5.055798466196211
Sun May 25 2025 22:24:00 GMT+0300 (GMT+03:00),5.025433185517037
Sun May 25 2025 22:25:00 GMT+0300 (GMT+03:00),5.054645776710883
Sun May 25 2025 22:26:00 GMT+0300 (GMT+03:00),5.038967458927315
Sun May 25 2025 22:27:00 GMT+0300 (GMT+03:00),5.063677052791536
Sun May 25 2025 22:28:00 GMT+0300 (GMT+03:00),5.022292345957824
Sun May 25 2025 22:29:00 GMT+0300 (GMT+03:00),5.054256456426083
Sun May 25 2025 22:30:00 GMT+0300 (GMT+03:00),5.03766480799092
Sun May 25 2025 22:31:00 GMT+0300 (GMT+03:00),5.059249567944729
Sun May 25 2025 22:32:00 GMT+0300 (GMT+03:00),5.0487134806325535
Sun May 25 2025 22:33:00 GMT+0300 (GMT+03:00),5.039022600615408
Sun May 25 2025 22:34:00 GMT+0300 (GMT+03:00),5.0414125540892805
Sun May 25 2025 22:35:00 GMT+0300 (GMT+03:00),5.0426225788546315
Sun May 25 2025 22:36:00 GMT+0300 (GMT+03:00),5.0527076163593545
Sun May 25 2025 22:37:00 GMT+0300 (GMT+03:00),5.044446741733676
Sun May 25 2025 22:38:00 GMT+0300 (GMT+03:00),5.047555708272254
Sun May 25 2025 22:39:00 GMT+0300 (GMT+03:00),5.058359863170941
Sun May 25 2025 22:40:00 GMT+0300 (GMT+03:00),4.770716012648154
Sun May 25 2025 22:41:00 GMT+0300 (GMT+03:00),5.0538323054115
Sun May 25 2025 22:42:00 GMT+0300 (GMT+03:00),5.056999389702044
Sun May 25 2025 22:43:00 GMT+0300 (GMT+03:00),4.45880597102035
Sun May 25 2025 22:44:00 GMT+0300 (GMT+03:00),5.03826384329271
Sun May 25 2025 22:45:00 GMT+0300 (GMT+03:00),4.775829493240538
Sun May 25 2025 22:46:00 GMT+0300 (GMT+03:00),5.060358445228363
Sun May 25 2025 22:47:00 GMT+0300 (GMT+03:00),4.805409560501782
Sun May 25 2025 22:48:00 GMT+0300 (GMT+03:00),5.055691651318861
Sun May 25 2025 22:49:00 GMT+0300 (GMT+03:00),5.0341983965733865
Sun May 25 2025 22:50:00 GMT+0300 (GMT+03:00),5.032028466585264
Sun May 25 2025 22:51:00 GMT+0300 (GMT+03:00),5.040512794749157
Sun May 25 2025 22:52:00 GMT+0300 (GMT+03:00),5.058739141898756
Sun May 25 2025 22:53:00 GMT+0300 (GMT+03:00),5.054004131274511
Sun May 25 2025 22:54:00 GMT+0300 (GMT+03:00),5.02613687874776
Sun May 25 2025 22:55:00 GMT+0300 (GMT+03:00),5.050894381225892
Sun May 25 2025 22:56:00 GMT+0300 (GMT+03:00),5.0442335365608715
Sun May 25 2025 22:57:00 GMT+0300 (GMT+03:00),5.0561129498250015
Sun May 25 2025 22:58:00 GMT+0300 (GMT+03:00),5.048631882008643
Sun May 25 2025 22:59:00 GMT+0300 (GMT+03:00),5.039861973626527
Sun May 25 2025 23:00:00 GMT+0300 (GMT+03:00),5.0486701873364535
Sun May 25 2025 23:01:00 GMT+0300 (GMT+03:00),5.034964383046948
Sun May 25 2025 23:02:00 GMT+0300 (GMT+03:00),5.040687049650417
Sun May 25 2025 23:03:00 GMT+0300 (GMT+03:00),5.045565716117562
Sun May 25 2025 23:04:00 GMT+0300 (GMT+03:00),5.049298029894453
Sun May 25 2025 23:05:00 GMT+0300 (GMT+03:00),4.125793739206407
Sun May 25 2025 23:06:00 GMT+0300 (GMT+03:00),4.301476762823646
Sun May 25 2025 23:07:00 GMT+0300 (GMT+03:00),5.040489851908993
Sun May 25 2025 23:08:00 GMT+0300 (GMT+03:00),5.0489345333449815
Sun May 25 2025 23:09:00 GMT+0300 (GMT+03:00),5.050581611562545
Sun May 25 2025 23:10:00 GMT+0300 (GMT+03:00),5.038138961957096
Sun May 25 2025 23:11:00 GMT+0300 (GMT+03:00),5.045847170381361
Sun May 25 2025 23:12:00 GMT+0300 (GMT+03:00),5.0493294657115255
Sun May 25 2025 23:13:00 GMT+0300 (GMT+03:00),5.035862960253993
Sun May 25 2025 23:14:00 GMT+0300 (GMT+03:00),5.043743325025631
