TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 19:26:00 GMT+0300 (GMT+03:00),321538.0585832593
Sun May 25 2025 19:27:00 GMT+0300 (GMT+03:00),322786.41605370946
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),323375.74989803653
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),322354.8834119264
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),321507.78143409034
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),321534.32878952107
Sun May 25 2025 19:32:00 GMT+0300 (GMT+03:00),321918.49754455633
Sun May 25 2025 19:33:00 GMT+0300 (GMT+03:00),323298.5212276925
Sun May 25 2025 19:34:00 GMT+0300 (GMT+03:00),322737.0891176257
Sun May 25 2025 19:35:00 GMT+0300 (GMT+03:00),322710.70573455124
Sun May 25 2025 19:36:00 GMT+0300 (GMT+03:00),322306.72042322
Sun May 25 2025 19:37:00 GMT+0300 (GMT+03:00),322601.049798648
Sun May 25 2025 19:38:00 GMT+0300 (GMT+03:00),323375.1783042593
Sun May 25 2025 19:39:00 GMT+0300 (GMT+03:00),322998.43268007
Sun May 25 2025 19:40:00 GMT+0300 (GMT+03:00),322738.066938427
Sun May 25 2025 19:41:00 GMT+0300 (GMT+03:00),322449.0058539082
Sun May 25 2025 19:42:00 GMT+0300 (GMT+03:00),322165.75557822565
Sun May 25 2025 19:43:00 GMT+0300 (GMT+03:00),323301.0854608875
Sun May 25 2025 19:44:00 GMT+0300 (GMT+03:00),323177.30293120083
Sun May 25 2025 19:45:00 GMT+0300 (GMT+03:00),322697.75802200293
Sun May 25 2025 19:46:00 GMT+0300 (GMT+03:00),322626.59536708135
Sun May 25 2025 19:47:00 GMT+0300 (GMT+03:00),322437.77617480204
Sun May 25 2025 19:48:00 GMT+0300 (GMT+03:00),322997.0565946784
Sun May 25 2025 19:49:00 GMT+0300 (GMT+03:00),323184.7809830027
Sun May 25 2025 19:50:00 GMT+0300 (GMT+03:00),322673.2020154457
Sun May 25 2025 19:51:00 GMT+0300 (GMT+03:00),322570.2790003078
Sun May 25 2025 19:52:00 GMT+0300 (GMT+03:00),323298.5212276925
Sun May 25 2025 19:57:00 GMT+0300 (GMT+03:00),57557.744961690056
Sun May 25 2025 19:58:00 GMT+0300 (GMT+03:00),113112.83982912058
Sun May 25 2025 19:59:00 GMT+0300 (GMT+03:00),173554.18019208475
Sun May 25 2025 20:00:00 GMT+0300 (GMT+03:00),236142.18074089425
Sun May 25 2025 20:01:00 GMT+0300 (GMT+03:00),303375.4549956915
Sun May 25 2025 20:02:00 GMT+0300 (GMT+03:00),323234.1462241668
Sun May 25 2025 20:03:00 GMT+0300 (GMT+03:00),322129.7312289493
Sun May 25 2025 20:04:00 GMT+0300 (GMT+03:00),319837.2726386374
Sun May 25 2025 20:05:00 GMT+0300 (GMT+03:00),319575.79446709575
Sun May 25 2025 20:06:00 GMT+0300 (GMT+03:00),320338.2126283995
Sun May 25 2025 20:07:00 GMT+0300 (GMT+03:00),323170.99554115307
Sun May 25 2025 20:08:00 GMT+0300 (GMT+03:00),322642.0775297683
Sun May 25 2025 20:09:00 GMT+0300 (GMT+03:00),321339.44706669985
Sun May 25 2025 20:10:00 GMT+0300 (GMT+03:00),321197.9013943349
Sun May 25 2025 20:11:00 GMT+0300 (GMT+03:00),321985.633831844
Sun May 25 2025 20:12:00 GMT+0300 (GMT+03:00),323164.9425682312
Sun May 25 2025 20:13:00 GMT+0300 (GMT+03:00),323102.3886594103
Sun May 25 2025 20:14:00 GMT+0300 (GMT+03:00),321657.4119828819
Sun May 25 2025 20:15:00 GMT+0300 (GMT+03:00),321270.95722523297
Sun May 25 2025 20:16:00 GMT+0300 (GMT+03:00),321985.633831844
Sun May 25 2025 20:17:00 GMT+0300 (GMT+03:00),322995.4183977836
Sun May 25 2025 20:18:00 GMT+0300 (GMT+03:00),323370.319757153
Sun May 25 2025 20:19:00 GMT+0300 (GMT+03:00),323154.9241687716
Sun May 25 2025 20:20:00 GMT+0300 (GMT+03:00),322618.6331119853
Sun May 25 2025 20:21:00 GMT+0300 (GMT+03:00),321907.89707814244
Sun May 25 2025 20:22:00 GMT+0300 (GMT+03:00),323105.55563517084
Sun May 25 2025 20:23:00 GMT+0300 (GMT+03:00),323273.27339315694
Sun May 25 2025 20:24:00 GMT+0300 (GMT+03:00),322947.9206163011
Sun May 25 2025 20:25:00 GMT+0300 (GMT+03:00),322630.142189806
Sun May 25 2025 20:26:00 GMT+0300 (GMT+03:00),321464.3403070218
Sun May 25 2025 20:27:00 GMT+0300 (GMT+03:00),322377.49052907433
Sun May 25 2025 20:28:00 GMT+0300 (GMT+03:00),323377.00906113995
Sun May 25 2025 20:29:00 GMT+0300 (GMT+03:00),323130.3075300994
Sun May 25 2025 20:30:00 GMT+0300 (GMT+03:00),322871.8328240417
Sun May 25 2025 20:31:00 GMT+0300 (GMT+03:00),322724.1329920088
Sun May 25 2025 20:32:00 GMT+0300 (GMT+03:00),322724.1329920088
Sun May 25 2025 20:37:00 GMT+0300 (GMT+03:00),52566.723720256785
Sun May 25 2025 20:38:00 GMT+0300 (GMT+03:00),102908.2905872035
Sun May 25 2025 20:39:00 GMT+0300 (GMT+03:00),157902.84972713148
Sun May 25 2025 20:40:00 GMT+0300 (GMT+03:00),212138.27388108842
Sun May 25 2025 20:41:00 GMT+0300 (GMT+03:00),266375.08733950916
Sun May 25 2025 20:42:00 GMT+0300 (GMT+03:00),323011.85993752757
Sun May 25 2025 20:43:00 GMT+0300 (GMT+03:00),323451.8116516583
Sun May 25 2025 20:44:00 GMT+0300 (GMT+03:00),322925.5418538719
Sun May 25 2025 20:45:00 GMT+0300 (GMT+03:00),321786.03946423193
Sun May 25 2025 20:46:00 GMT+0300 (GMT+03:00),320626.7953771408
Sun May 25 2025 20:47:00 GMT+0300 (GMT+03:00),322741.3073910824
Sun May 25 2025 20:48:00 GMT+0300 (GMT+03:00),323457.3192085753
Sun May 25 2025 20:49:00 GMT+0300 (GMT+03:00),323212.8456715296
Sun May 25 2025 20:50:00 GMT+0300 (GMT+03:00),322477.9666052872
Sun May 25 2025 20:51:00 GMT+0300 (GMT+03:00),321575.35652064136
Sun May 25 2025 20:52:00 GMT+0300 (GMT+03:00),321310.43459969334
Sun May 25 2025 20:53:00 GMT+0300 (GMT+03:00),323445.2897061423
Sun May 25 2025 20:54:00 GMT+0300 (GMT+03:00),323372.48671478254
Sun May 25 2025 20:55:00 GMT+0300 (GMT+03:00),322506.9273566662
Sun May 25 2025 20:56:00 GMT+0300 (GMT+03:00),322338.8290823576
Sun May 25 2025 20:57:00 GMT+0300 (GMT+03:00),321720.53156922077
Sun May 25 2025 20:58:00 GMT+0300 (GMT+03:00),323426.16305784445
Sun May 25 2025 20:59:00 GMT+0300 (GMT+03:00),323425.12108372076
Sun May 25 2025 21:00:00 GMT+0300 (GMT+03:00),322889.4686248815
Sun May 25 2025 21:01:00 GMT+0300 (GMT+03:00),321830.1603244409
Sun May 25 2025 21:02:00 GMT+0300 (GMT+03:00),322695.7291781563
Sun May 25 2025 21:03:00 GMT+0300 (GMT+03:00),323403.55221936037
Sun May 25 2025 21:04:00 GMT+0300 (GMT+03:00),323444.9223401792
Sun May 25 2025 21:05:00 GMT+0300 (GMT+03:00),323160.1144239133
Sun May 25 2025 21:06:00 GMT+0300 (GMT+03:00),322553.71010889387
Sun May 25 2025 21:07:00 GMT+0300 (GMT+03:00),322093.706879673
Sun May 25 2025 21:08:00 GMT+0300 (GMT+03:00),323317.11507627903
Sun May 25 2025 21:09:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 21:10:00 GMT+0300 (GMT+03:00),323344.4722865472
Sun May 25 2025 21:11:00 GMT+0300 (GMT+03:00),323071.66200855694
Sun May 25 2025 21:12:00 GMT+0300 (GMT+03:00),323251.6323921265
Sun May 25 2025 21:17:00 GMT+0300 (GMT+03:00),51620.84469466258
Sun May 25 2025 21:18:00 GMT+0300 (GMT+03:00),111300.96367625137
Sun May 25 2025 21:19:00 GMT+0300 (GMT+03:00),170914.0445446471
Sun May 25 2025 21:20:00 GMT+0300 (GMT+03:00),235501.02611482248
Sun May 25 2025 21:21:00 GMT+0300 (GMT+03:00),303080.0553316256
Sun May 25 2025 21:22:00 GMT+0300 (GMT+03:00),323420.6217209067
Sun May 25 2025 21:23:00 GMT+0300 (GMT+03:00),322536.3789682381
