TimeSeries ID,container/gpu/utilizations.cloud_run_revision.ALIGN_SUM.REDUCE_PERCENTILE_50.metric.type="run.googleapis.com/container/gpu/utilizations" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.container_name:ollama-gemma-1.gpu_number:0
container_name,ollama-gemma-1
gpu_number,0
project_id,llm-workload-characterization
Fri May 23 2025 14:11:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:12:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:13:00 GMT+0300 (GMT+03:00),0.685
Fri May 23 2025 14:14:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:15:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 14:16:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 14:17:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:18:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:19:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 14:20:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:21:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:22:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:23:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 14:24:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 14:25:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 14:26:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:27:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:28:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:29:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:30:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:31:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:32:00 GMT+0300 (GMT+03:00),0.7475
Fri May 23 2025 14:33:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:34:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:35:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:36:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 14:37:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 14:38:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:39:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 14:40:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:41:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 14:42:00 GMT+0300 (GMT+03:00),0.7875000000000001
Fri May 23 2025 14:43:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:44:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:45:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 14:46:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 14:47:00 GMT+0300 (GMT+03:00),0.7475
Fri May 23 2025 14:48:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:49:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:50:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:51:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:52:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 14:53:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 14:54:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 14:55:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 14:56:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 14:57:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 14:58:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 14:59:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 15:00:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:01:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:02:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:03:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:04:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:05:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 15:06:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 15:07:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 15:08:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 15:09:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 15:10:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 15:11:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 15:12:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:13:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:14:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 15:15:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 15:16:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:17:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:18:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:19:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 15:20:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:21:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:22:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 15:23:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 15:24:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 15:25:00 GMT+0300 (GMT+03:00),0.785
