TimeSeries ID,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization.response_code_class:2xx,request_count.cloud_run_revision.ALIGN_RATE.REDUCE_SUM.metric.type="run.googleapis.com/request_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".60s.project_id:llm-workload-characterization.response_code_class:5xx
response_code_class,2xx,5xx
project_id,llm-workload-characterization,llm-workload-characterization
Fri May 23 2025 13:52:00 GMT+0300 (GMT+03:00),0.31666666666666665,0
Fri May 23 2025 13:53:00 GMT+0300 (GMT+03:00),0.35,0
Fri May 23 2025 13:54:00 GMT+0300 (GMT+03:00),0.4,0
Fri May 23 2025 13:55:00 GMT+0300 (GMT+03:00),0.4,0
Fri May 23 2025 13:56:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 13:57:00 GMT+0300 (GMT+03:00),0.3,0
Fri May 23 2025 13:58:00 GMT+0300 (GMT+03:00),0.38333333333333336,0
Fri May 23 2025 13:59:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:00:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:01:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:02:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:03:00 GMT+0300 (GMT+03:00),0.4166666666666667,0
Fri May 23 2025 14:04:00 GMT+0300 (GMT+03:00),0.4,0
Fri May 23 2025 14:05:00 GMT+0300 (GMT+03:00),0.35,0
Fri May 23 2025 14:06:00 GMT+0300 (GMT+03:00),0.26666666666666666,0
Fri May 23 2025 14:07:00 GMT+0300 (GMT+03:00),0.25,0
Fri May 23 2025 14:08:00 GMT+0300 (GMT+03:00),0.03333333333333333,0
Fri May 23 2025 14:09:00 GMT+0300 (GMT+03:00),0,0
Fri May 23 2025 14:10:00 GMT+0300 (GMT+03:00),0,0
Fri May 23 2025 14:11:00 GMT+0300 (GMT+03:00),0,0
Fri May 23 2025 14:12:00 GMT+0300 (GMT+03:00),0,0
Fri May 23 2025 14:13:00 GMT+0300 (GMT+03:00),0.15,0
Fri May 23 2025 14:14:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:15:00 GMT+0300 (GMT+03:00),0.31666666666666665,0
Fri May 23 2025 14:16:00 GMT+0300 (GMT+03:00),0.3333333333333333,0
Fri May 23 2025 14:17:00 GMT+0300 (GMT+03:00),0.31666666666666665,0
Fri May 23 2025 14:18:00 GMT+0300 (GMT+03:00),2.933333333333333,2.05
Fri May 23 2025 14:19:00 GMT+0300 (GMT+03:00),1.6833333333333333,0.7333333333333333
Fri May 23 2025 14:20:00 GMT+0300 (GMT+03:00),0.38333333333333336,0
Fri May 23 2025 14:21:00 GMT+0300 (GMT+03:00),0.35,0
Fri May 23 2025 14:22:00 GMT+0300 (GMT+03:00),0.36666666666666664,0
Fri May 23 2025 14:23:00 GMT+0300 (GMT+03:00),3.15,0.03333333333333333
Fri May 23 2025 14:24:00 GMT+0300 (GMT+03:00),3.9166666666666665,0.05
Fri May 23 2025 14:25:00 GMT+0300 (GMT+03:00),0.45,0
Fri May 23 2025 14:26:00 GMT+0300 (GMT+03:00),0.4166666666666667,0
Fri May 23 2025 14:27:00 GMT+0300 (GMT+03:00),0.4,0
Fri May 23 2025 14:28:00 GMT+0300 (GMT+03:00),1.9,0.03333333333333333
