timestamp,latency_p99
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),48080.65917333804
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),102123.92861626446
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),165179.0130425577
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),219651.50441437695
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),237029.9333000705
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),218810.82964242977
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),241912.57237554016
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),241690.6342357461
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),242411.93319007684
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),242755.93730675764
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),240580.9435367757
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),243096.24245444188
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),266933.87825592404
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),266592.09352064115
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),260977.05858385112
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),291371.4868286495
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),293734.68414117675
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),294133.66550562944
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),292445.6674252528
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),293842.1022008371
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),321887.1672771554
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),321788.70072246675
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),293519.8480218561
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),316963.8395427235
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),293519.8480218561
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),315782.2408864599
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),316077.64055052574
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),294667.26820459147
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),320213.2358474485
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),287343.309591387
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),286537.67414393456
Sun May 25 2025 18:53:00 GMT+0300 (GMT+03:00),293340.8179224222
Sun May 25 2025 18:54:00 GMT+0300 (GMT+03:00),323462.63215217355
Sun May 25 2025 18:55:00 GMT+0300 (GMT+03:00),324385.7561023795
Sun May 25 2025 18:56:00 GMT+0300 (GMT+03:00),324475.4310003996
Sun May 25 2025 18:57:00 GMT+0300 (GMT+03:00),324644.2308084372
Sun May 25 2025 19:02:00 GMT+0300 (GMT+03:00),47992.84061777029
Sun May 25 2025 19:03:00 GMT+0300 (GMT+03:00),112388.0893679729
Sun May 25 2025 19:04:00 GMT+0300 (GMT+03:00),165866.20624457017
Sun May 25 2025 19:05:00 GMT+0300 (GMT+03:00),220606.5109553091
Sun May 25 2025 19:06:00 GMT+0300 (GMT+03:00),261221.19053762456
Sun May 25 2025 19:07:00 GMT+0300 (GMT+03:00),267243.1120640371
Sun May 25 2025 19:08:00 GMT+0300 (GMT+03:00),266775.19248597126
Sun May 25 2025 19:09:00 GMT+0300 (GMT+03:00),267463.99335554644
